video_id,title,published_at,view_count,like_count,comment_count,duration,fetched_at
RHm-vGoeEgs,Por que aviões NÃO DEVERIAM voar #shorts,2022-09-28T21:00:12Z,175478,33745,250,PT54S,2025-11-09T02:45:16.413108
Pd5hBbzs-_Y,O Que Torna Duas Notas Harmônicas?,2017-09-08T00:08:31Z,174111,26741,810,PT8M58S,2025-11-09T02:45:18.666170
MEPBJAhkH9Y,E SE VOCÊ FOSSE EXPOSTO AO VÁCUO DO ESPAÇO?,2013-10-22T23:54:16Z,169108,12745,260,PT3M30S,2025-11-09T02:45:19.161726
XfT3rsUhYnA,Efeito Doppler,2013-09-24T20:16:11Z,168926,14121,233,PT1M58S,2025-11-09T02:45:19.161742
tjr62w8qlJE,O Modelo Padrão em 1 minuto #Shorts,2022-02-27T15:11:55Z,168176,27154,201,PT54S,2025-11-09T02:45:17.176504
2nsEgZ5gDM4,Como computadores ACABARAM com a SEGUNDA GUERRA #shorts,2022-09-13T13:55:23Z,166460,26714,167,PT56S,2025-11-09T02:45:16.413180
faTmsdxzBqQ,O que são os Buracos Negros?,2014-06-06T03:02:20Z,165644,16430,381,PT5M4S,2025-11-09T02:45:19.161652
OgN-pyRqR6g,Por que uma INTELIGÊNCIA ARTIFICIAL poderia ganhar um Nobel?,2021-09-02T19:30:20Z,165272,23785,450,PT9M29S,2025-11-09T02:45:17.390244
meN5NCVPiA0,A Realidade é Virtual,2022-02-25T14:37:45Z,163124,21782,385,PT14M57S,2025-11-09T02:45:17.176514
kMVaDeA2DYg,como VIAJAR para OUTRAS ESTRELAS usando uma VELA SOLAR #shorts,2022-10-07T20:00:36Z,162325,26317,634,PT1M,2025-11-09T02:45:16.413056
R7TGHE1HFjM,POR QUE A LUA FICA VERMELHA?,2014-04-05T19:19:23Z,161413,9130,324,PT3M28S,2025-11-09T02:45:19.161685
8j_OsZsv1ag,A GUERRA DAS CORRENTES,2023-03-29T20:00:02Z,160711,19628,500,PT6M37S,2025-11-09T02:45:15.680551
0SVREnHDSS0,Como Detectar Ondas Gravitacionais #Shorts,2022-03-16T14:33:51Z,159662,28233,116,PT55S,2025-11-09T02:45:17.176427
PsmMzKcaOYc,Por Que Você DEVE se Importar com a Criptografia?,2016-03-20T00:16:25Z,159110,25497,613,PT6M43S,2025-11-09T02:45:18.666337
